model,term,coefficient,status
M2V1,Sponsor×HighIncome,-0.0079,reported_not_rerun
M2V1,TimeCost×HighFreq,0.0689,reported_not_rerun
M2V2,ListenScore×Young,-0.0550,reported_not_rerun
M2V2,TimeCost×HighIncome,0.0520,reported_not_rerun
M2V2,ListenScore×HighFreq,0.0146,reported_not_rerun
M2V3,ListenScore×HighEdu,-0.0103,reported_not_rerun
M2V3,TimeCost×Young,0.0836,reported_not_rerun
M2V3,Sponsor×Female,0.1696,reported_not_rerun
M2V4,TimeCost×HighEdu,-0.1025,reported_not_rerun
M2V4,ListenScore×HighIncome,0.0013,reported_not_rerun
M2V4,Sponsor×HighFreq,-0.2566,reported_not_rerun
M2V5,Sponsor×HighEdu,-0.1211,reported_not_rerun
M2V5,TimeCost×Older,-0.0075,reported_not_rerun
M2V6,ListenScore×Older,0.0004,reported_not_rerun
M2V6,ListenScore×Female,0.0399,reported_not_rerun
M2V7,Sponsor×LowIncome,0.1285,reported_not_rerun
M2V7,Sponsor×HighIncome,0.0569,reported_not_rerun
M2V8,Sponsor×Female,0.1692,reported_not_rerun
